estate,total_time
西湖区西溪河东,28
江干区紫园,38
滨江区恒鼎博邑郡,71
上城区劳动路,37
下城区新德佳苑,50
江干区新城市广场,27
余杭区经纬美耀湾,74
滨江区寰宇天下,49
下城区天巢花苑,9
滨江区海威钱塘之星,40
江干区景芳四区,37
拱墅区大关西六苑,34
上城区临江风帆公寓,45
余杭区木桥浜路23-295号,99999999999
余杭区广厦天都城爱尚公寓,58
下城区河西南38号,27
临安区越秀星汇城,99
萧山区德信泊林春天,54
西湖区文二路62号,28
西湖区高教新村,47
拱墅区小河路,43
拱墅区长青嘉苑,58
上城区清江路114-2号,99999999999
滨江区仁苑,55
余杭区莱茵旺角七号,86
余杭区窑山花园,94
滨江区凯瑞金座,58
萧山区里横河社区,65
江干区静怡花苑,45
余杭区锦绣时代中心,85
江干区九堡明珠公寓,49
下城区永康苑,22
萧山区南城景园,105
萧山区育才东苑,79
滨江区瑞立中央花城,31
余杭区协安蓝郡,52
下城区电信巷,49
下城区杭氧宿舍,39
江干区三新家园,38
余杭区闲林山水海棠苑,56
上城区近江家园二园,29
拱墅区吉如家园,47
滨江区滨兴家园,62
余杭区世纪嘉园,72
萧山区金昌春和钱塘,56
余杭区佳兆业西溪璞园,54
江干区华家池,36
萧山区摩卡商务馆,75
萧山区相墅花园,76
江干区三里新城兰苑,35
萧山区港汇中心,52
江干区东港嘉苑一区,41
滨江区绿地旭辉城,50
萧山区银通大厦,67
余杭区复兴弄,85
余杭区华元欢乐城,60
余杭区东海水景城,70
下城区宏盛公寓社区,31
拱墅区明真宫,32
西湖区融创瑷骊山,84
下城区杭锅新村,43
西湖区茶市新村,53
余杭区香槟之约,99999999999
西湖区石灰桥新村,28
萧山区空港新天地,109
江干区凯旋路112号,37
拱墅区宗坛巷,99999999999
萧山区绿都湖滨花园,62
拱墅区天阳上河,41
江干区东海未名园,52
西湖区文二路27号,26
江干区东方润园,57
上城区建国南苑,40
西湖区中融城市花园,32
上城区天福花园,46
滨江区盛元慧谷,54
西湖区都市阳光和苑,69
西湖区金成花园,34
江干区天阳明朗,63
滨江区世茂之西湖,52
拱墅区杭钢尚堂府,63
拱墅区霞湾巷小区,36
拱墅区广宇万科公园里,51
西湖区沿山河新村,30
江干区圆梦园,46
富阳区颐景山庄,105
下城区三塘桃园,44
拱墅区三宝郡庭,47
余杭区复地连城国际,54
下城区金都华庭,31
西湖区金厦公寓,48
萧山区世纪晶钻,55
西湖区保m路109号,28
西湖区枫华府第,34
下城区胭脂新村,10
拱墅区信步闲庭,43
下城区嘉汇大厦,19
萧山区新城香悦奥府,54
余杭区龙湖香醍溪岸,115
上城区涌金门社区,18
江干区汇隆风林公寓,46
萧山区富地商瑞大厦,88
拱墅区武林壹号,17
余杭区逸居城,68
萧山区恒安名座,74
拱墅区盛德欣苑,38
西湖区湖畔花园太子苑,36
下城区星都嘉苑,31
下城区十五家园,20
西湖区马塍路37号,28
上城区金都华府,45
江干区广茵大厦,32
滨江区超级星期天,78
上城区百岁坊巷,42
萧山区科尔世纪外滩,95
上城区柳浪东苑,35
江干区新塘家园西区,39
江干区郡枫绿园西区,60
余杭区瑞金华庭嘉苑,80
江干区多蓝水岸听涛苑,77
余杭区北大资源未名府,68
滨江区钱江湾花园,72
萧山区府尚别墅,85
上城区东平巷小区,18
萧山区江南风尚铭楼,69
西湖区西溪锋尚苑,44
江干区德信浙旅东宸,40
江干区金隅观澜时代朗轩,75
上城区柳浪阁,34
余杭区赞成乐山红叶,58
江干区宝龙城市广场,67
江干区长睦邻里人家西苑,67
西湖区莫干山路515号,33
滨江区星光国际公馆,41
萧山区华瑞晴庐,77
萧山区郡乐苑,101
西湖区绿城西溪世纪广场,56
余杭区景雅苑,64
上城区柳浪新苑,36
萧山区新安园,67
拱墅区定海东园,48
江干区采荷大厦,45
萧山区金帝金色钱塘,52
下城区丽景苑(下城),99999999999
滨江区龙湖春江郦城,46
江干区闸弄口铁路宿舍,35
江干区东都公寓,44
萧山区新桥园,82
余杭区嘉凯城名城博园,67
西湖区莫干山路605号,42
萧山区明华花园,76
拱墅区庆隆苑,49
滨江区金盛曼城,56
萧山区宁东北苑,54
余杭区平瑞瑞和园,78
西湖区丹金桂花园,41
江干区长睦锦苑,78
江干区广景苑,36
萧山区美之园西区,62
滨江区云厦连园,36
上城区联珠里,40
余杭区通和波士顿公寓,77
余杭区通和十二橡树,99999999999
下城区朝晖六区,30
西湖区桃源春居,53
余杭区富力西溪悦居,50
萧山区利一家园,57
拱墅区大浒西苑,39
江干区运新花苑五区,39
滨江区彩虹城,57
上城区近江家园四园,26
富阳区大有清竹蓝庭,117
江干区东方水岚佳苑,62
西湖区创美华彩国际,67
西湖区信鸿花园北区,52
拱墅区都市水乡水映苑,49
下城区东新园孚信苑,49
江干区下沙幸福雅苑,56
滨江区银爵世纪公寓,51
西湖区人和家园,47
下城区长兴公寓,43
江干区凯旋路104号,36
上城区光复路146-186号,99999999999
萧山区中新御景湾,85
拱墅区景致公寓,52
上城区马市街,36
西湖区城市心境,35
西湖区庆丰公寓,37
西湖区之江家园五区,74
萧山区天海阳光地带,66
余杭区春晓苑,54
上城区紫金观巷,32
上城区老浙大横路一弄,38
下城区九龙仓君玺,20
余杭区赞成香颂二期,79
萧山区京港国际,50
余杭区保亿风景晨园,56
下城区遂安路,23
拱墅区阅城新座,58
上城区耀江福村,29
西湖区金色蓝庭,37
西湖区莫干山路347号,25
临安区碧桂苑,125
拱墅区阳光郡,54
上城区抽分厂路,45
江干区草庄景墅,38
余杭区九衡公寓,75
萧山区佳境天城境合苑,49
拱墅区三塘人家,42
江干区东华苑,37
江干区天城铭园,39
江干区红街公寓,30
余杭区美好桂花金座,67
余杭区华元花涧堂,79
滨江区万科逸天广场,57
余杭区景瑞御蓝湾,67
西湖区新德雅公寓,46
西湖区耀江文鼎苑,39
拱墅区大关东一苑,39
萧山区德圣博奥城,63
上城区奎垣巷,17
余杭区顺达花苑东区,85
余杭区西塘花苑,63
余杭区南湖丽景,78
萧山区绿都嘉瑞华庭,76
江干区保利罗兰香谷,66
拱墅区蚕花园永宁坊,43
拱墅区景瑞悦西台,55
余杭区悦泽公寓,72
江干区丽江公寓,48
拱墅区胜月苑,36
西湖区佳兆业玖珑山,93
上城区袁井巷,36
上城区望江新园一园,30
江干区金雅苑社区,52
余杭区源山雅阁,94
上城区叶家弄,25
拱墅区锦绣文澜阁,47
萧山区杭发厂宿舍,68
萧山区Q公寓,107
萧山区融创东南海,87
西湖区明月公寓,41
萧山区城北新村,59
上城区江城路322号,41
下城区嘉里桦枫居,42
滨江区滨兴北苑小区,61
萧山区丰瑞南苑,68
萧山区之江绿洲嘉园,57
拱墅区仓基新村,28
拱墅区复地壹中心,45
滨江区现代印象广场,62
西湖区建工新村,24
余杭区联兴路,68
拱墅区德信晓宸,61
余杭区邱山大街114-755号,99999999999
西湖区南都银座公寓,32
余杭区欧美金融城,70
西湖区学院路59号,35
江干区蓝天城市花园,26
拱墅区龙门公寓,38
西湖区紫金庭园,51
下城区远大花园,31
滨江区融创杭州印,47
萧山区绿都世贸广场,59
拱墅区远洋杭州大运河商务区,37
拱墅区假山新村,34
江干区运新花苑二区,44
江干区保利玫瑰湾,71
江干区紫薇公寓,34
拱墅区勤丰小区,38
拱墅区运河东苑,37
拱墅区香吉公寓,37
西湖区天目山路3号,16
富阳区秦汉大厦,157
萧山区嘉富广场,69
下城区中山北路143号,20
西湖区金祝花园,18
萧山区西山公寓,70
江干区康恒悦麒美寓,45
上城区元华公寓,27
西湖区之江富城,86
下城区东园大楼,32
拱墅区袁家新院,60
上城区春江名苑,31
江干区中海御道,48
西湖区教工路49号,29
余杭区美致生活广场,113
萧山区景苑公寓(萧山),74
下城区打铁关路,27
西湖区龙都大厦,30
余杭区东海阳光苑,72
上城区南星公寓,40
下城区刀茅巷173-178号,99999999999
西湖区万科坤和玉泉,54
西湖区丽阳苑,42
滨江区银杏汇,52
拱墅区董家新村,43
余杭区西溪八方城,50
江干区江岸邻里,41
拱墅区雍荣华庭,59
江干区久睦苑,76
下城区东新园东荷星苑,54
下城区戒坛寺巷,8
下城区春丰苑,34
拱墅区方正荷塘月色,59
下城区骆驼桥东河下,22
拱墅区蚕花园永兴坊,43
下城区北景园枫丹苑,41
拱墅区大关南六苑,39
江干区濮家东村,28
余杭区北秀蓝湾花苑,68
余杭区曙光嘉园,94
萧山区金瑞大厦,63
滨江区风景蝶院留园,61
拱墅区荷花塘,33
余杭区美好桂花星座,86
上城区滨江新苑,29
下城区九鼎名仕顿商务楼,12
下城区中山北路412号,9
拱墅区北城天地,54
江干区丁桥家苑,55
萧山区半岛花园,71
上城区凤凰城广场,44
西湖区嘉绿南苑,35
余杭区金地广场,51
下城区野风现代中心,32
上城区直箭道巷,37
西湖区月桂花园,40
拱墅区德信北海公园,57
上城区太和广场,45
西湖区南都花园一区,48
西湖区求智巷,28
西湖区嘉绿福苑,33
余杭区越秀星汇悦城,54
萧山区恒瑞名座,77
下城区朝晖五区,32
江干区采荷小区翠柳,33
西湖区马塍路35号,28
上城区望江家园东园,32
余杭区乐山嘉苑,60
下城区三塘柳园,40
萧山区金茂大厦,61
江干区明月嘉苑,36
拱墅区富越香郡盈座,50
滨江区中海钱塘山水,73
西湖区古荡新村东区,39
萧山区高运高庄,102
江干区水湘人家西苑,41
萧山区头坞新村,73
拱墅区丽晶湾,56
江干区景芳五区,29
拱墅区塘河新村,42
余杭区华枫名苑,98
萧山区丽都公寓,65
萧山区北干二苑新安寓,70
富阳区天鸿美和院,98
上城区平海公寓,25
余杭区华宇家园,92
拱墅区稻香园南区,30
下城区体育场路2-70号,8
上城区金色海岸,38
滨江区长江西苑,70
江干区龙湖武林九里,65
西湖区融信杭州公馆,45
上城区近江家园九园,31
西湖区南都花园二区,44
西湖区教工路52号,27
上城区大名空间商务大厦,48
下城区珠碧一弄12号,33
西湖区金都城市芯宇,37
余杭区西溪玫瑰,61
下城区朝晖新城,25
萧山区科尔南城嘉园,101
余杭区远大金地中心,60
拱墅区假山路5弄,31
富阳区城东社区,103
余杭区东海水漾人家,97
下城区水印康庭,47
余杭区西园凤都苑,67
余杭区桂雨苑,61
余杭区荆山翠谷,56
余杭区金都梧桐苑,59
余杭区兴安公寓,55
下城区东新桥,56
上城区新丰新村,45
西湖区天目山路28号,36
江干区北城枫景园,88
上城区南瓦坊,39
拱墅区莫干山路70号,23
下城区俞汇巷小区,48
江干区白云大厦,26
下城区体育场路301号,8
富阳区野风春晓,110
余杭区万科溪望,64
萧山区百富联合国际奥体之星,52
萧山区广悦公寓,77
余杭区南北盛德国际,64
下城区文晖苑,24
拱墅区维元弄,18
下城区观巷,18
江干区伊萨卡国际城绮风园,69
萧山区中栋国际,55
滨江区官河公寓,46
上城区东方金座,25
拱墅区远洋大河宸章,44
上城区青年路小区,22
江干区联合麦田,33
下城区西文东苑,46
滨江区江南国美家园,58
上城区钱江御府,50
滨江区金龙大厦,60
江干区天阳观筑,72
萧山区金鹭银座,71
萧山区滨江东方海岸(萧山),84
萧山区知稼苑,64
余杭区良渚十六街区,75
余杭区逸品明珠花苑,81
西湖区筑品金座,39
下城区清远里,16
下城区钛合国际,22
下城区吴牙新村,27
西湖区跑马场巷,23
萧山区麻纺厂住宅区,66
富阳区阳光里,118
西湖区横桥沈合苑,65
江干区三里亭苑二区,50
余杭区东方俊园,85
余杭区广厦天都城紫韵公寓,62
余杭区西泠苑,60
余杭区大华海派风景,67
萧山区明江苑,66
拱墅区沈塘铭苑,20
萧山区金地德圣中心,63
下城区和平小区,31
西湖区春天花园,32
上城区凤凰北苑,46
下城区北景园荷风苑,60
拱墅区沈塘桥19弄,24
余杭区君临天下,68
江干区冠宇隽园,54
滨江区人民路19号(西兴路),99999999999
西湖区雅戈尔御西湖,38
余杭区闲林山水丹枫苑,57
上城区近江家园五园,29
西湖区文苑小区,54
江干区宋都东郡国际,77
江干区采荷路17号,45
余杭区朗诗未来街区,58
萧山区绿都泰富广场,78
余杭区恒厚阳光城,76
下城区现代雅苑,34
江干区金色黎明三期,50
下城区白泽弄,23
余杭区保亿丽景山,78
滨江区太阳国际公寓,63
萧山区天地墅园,101
江干区丁桥景园南苑,53
西湖区西溪路509号,36
余杭区合景叠彩园,63
滨江区钱塘帝景,55
西湖区坤和西溪里璞园,54
拱墅区宁和弄,45
萧山区富丽花园(萧山),66
拱墅区云河大厦,26
滨江区观邸国际,75
下城区耶稣堂弄,9
下城区环球中心,15
余杭区华艺星座,66
江干区广宇东承府,73
滨江区滨文苑,78
西湖区翠苑四区南园,33
西湖区山水人家美林泉,32
余杭区华元蒙卡岸,60
余杭区万陈花苑,84
上城区近江家园八园,28
余杭区名门天第,90
上城区信余里,31
余杭区富力天贸广场,48
拱墅区中天西城纪,51
江干区昆仑天籁,56
西湖区宝石新村,29
余杭区雅居乐国际花园,61
江干区采荷小区洁莲,40
西湖区文一路109号,37
下城区水星阁,16
西湖区马塍路33号,30
余杭区庭院深深,63
江干区赵家花苑,57
江干区尊宝大厦,33
下城区长宁街,22
江干区蔚蓝公寓,37
余杭区富力十号一期,59
西湖区紫金西苑,61
余杭区中尚橄榄树花园（南区）,69
江干区金基晓庐,49
江干区保利湾天地二期,78
余杭区山西园,73
余杭区梅堰小区,99
下城区云龙公寓,34
富阳区野风秋雅,110
下城区西子铭苑,12
下城区德胜新村南,40
萧山区湖畔公寓,64
萧山区建境巧克力公馆,88
滨江区风雅钱塘,40
萧山区众安山水苑一期,76
下城区嘉德广场,31
西湖区金源公寓(西湖),58
西湖区友谊新村,27
上城区陆家河头小区,36
西湖区金都新城,38
萧山区新东名苑,73
下城区万泰新语,60
拱墅区大兜弄,32
西湖区马塍路28号,25
上城区甘王新村,44
下城区祥和人家,58
江干区浙商国际中心,41
江干区石桥路151号,56
江干区采荷街道青荷苑,41
江干区运新花苑三区,45
下城区通宝商厦,18
余杭区越秀星汇尚城,60
萧山区佳丰北苑,62
下城区青春坊,31
余杭区史家埭路小区,78
萧山区韩家弄,70
江干区采荷绿萍,35
西湖区泊林漫谷,32
滨江区同人春江时代花园,53
西湖区坤和西溪里,57
萧山区丰润家园,66
西湖区保m路,31
余杭区南北乐章,89
余杭区天阳棕榈湾二期,61
上城区郡亭公寓,36
下城区德胜东村,34
拱墅区五一新村,27
江干区妇保宿舍,34
萧山区名城大厦,70
拱墅区湖墅北路2号,32
滨江区春波南苑,38
滨江区滨兴东苑,65
滨江区江南星座,35
拱墅区都市水乡水月苑,48
拱墅区大塘新村,26
上城区耀江广厦,19
余杭区迪凯运河印象,66
滨江区春波西苑,47
余杭区星桥桂花城,107
萧山区绿城西子郁金香岸,78
上城区北落马营,43
滨江区缤纷东院,63
拱墅区杭钢南苑,46
上城区宏农里28-30号,26
余杭区赞成首府,71
滨江区钱塘滨和花园,39
上城区八卦新村,46
拱墅区中兴御田清庭,45
江干区东方御府,43
上城区未央村,29
上城区宋浇造巷,26
西湖区广宇西城年华,55
拱墅区红石中央花苑,20
西湖区宝石二路6号,29
余杭区凯喜雅锦河湾,67
西湖区众安白马山庄,57
江干区远洋香奈,68
西湖区恒升花苑,25
西湖区梧桐燕庐,88
江干区金沙国际,65
江干区采荷人家,38
滨江区欣盛东方郡西区,36
拱墅区塘河北村,45
滨江区星耀城,30
拱墅区大关南四苑,39
余杭区世纪嘉园晴彩巴厘,76
西湖区云溪印象,82
萧山区潘水苑,63
余杭区顺达花苑西区,84
余杭区石榴派,80
江干区下沙文汇苑,61
滨江区钱江水晶城,53
下城区北景园芳洲苑,59
下城区漾河公寓,40
余杭区竹海水韵,58
滨江区江南豪园,35
西湖区桃园新村,29
萧山区华瑞中心,52
拱墅区小河路295号,49
江干区三堡北苑,44
下城区长德公寓,48
江干区铭和苑新荷坊,60
江干区常青苑,32
下城区五里塘苑,25
拱墅区半道红小区,19
余杭区南湖明筑花苑,83
萧山区置地大厦,49
下城区流水苑,29
余杭区德信早安,75
上城区涌金广场聚景阁,35
余杭区富力西溪悦墅,65
西湖区城北商贸园,42
江干区金色黎明一期,63
下城区天堂园轴承宿舍,50
下城区重机宿舍,47
西湖区厚诚路128号,58
江干区野风海天城,59
余杭区东海闲湖城印象加州,63
西湖区之江九里,63
江干区天阳九筑,58
萧山区英冠水天城,47
萧山区奥兰多小镇,38
西湖区曙光路三弄,29
滨江区春波小区,43
余杭区华惠家园,106
西湖区西溪路22-97号,30
西湖区珊瑚沙家园,72
江干区圆梦园锦江南苑,50
余杭区文明小区,89
拱墅区沈塘苑,20
西湖区都市阳光乐苑,73
江干区万科大家钱塘府,44
西湖区文二路160号,34
西湖区嘉里云荷廷,71
余杭区万科未来城三期梦溪里,99999999999
下城区德欣城市嘉园,49
西湖区山水人家诗家谷,38
下城区大树路3号,33
西湖区胜利新村,19
西湖区融创河滨之城,67
西湖区都市阳光嘉苑,67
余杭区广厦天都城天河苑,57
滨江区钱塘福苑,97
上城区云雀苑,41
滨江区积家,70
余杭区绿城莲园,87
萧山区回澜南园,86
江干区卓越蔚蓝领秀一期,93
余杭区星育佳园,95
拱墅区一清新村,28
余杭区万科北宸之光,64
拱墅区新安天苑,52
萧山区花城名苑,78
上城区凯恩西湖金座,32
江干区景芳三区,34
江干区三义锦唐苑,62
西湖区星洲花园圣陶沙韵,36
萧山区德意中兴广场,50
余杭区亲亲家园二期,50
萧山区海杰德大厦,53
拱墅区融信蓝孔雀,55
西湖区丹枫新村,46
江干区绿城玉兰公寓,39
西湖区欣园居,24
余杭区紫晶时代,53
上城区定安路49号,17
下城区东新园新湖苑,53
余杭区华立和郡,88
西湖区嘉绿景苑西园,50
江干区三里亭苑三区,41
余杭区太平家园,106
拱墅区金瑞城市风景,46
萧山区中粮云涛名苑,87
江干区后珠美都雅苑,64
下城区文晖路106号,25
西湖区紫金公寓,45
余杭区盛世嘉园,58
西湖区下宁巷1号,33
拱墅区耀翔悦尚,64
西湖区亚洲城花园,37
江干区昆盛肖邦,66
余杭区新南湖绿苑,78
余杭区新时代城市家园,66
萧山区佳境天城人合苑,53
余杭区广厦天都城温莎苑,57
滨江区贺田尚城,66
西湖区花园南村,25
余杭区仁惠家园,100
拱墅区都市水乡水滟苑,43
余杭区百姓弄小区,92
余杭区奥克斯杭州未来中心,76
上城区断河头,42
下城区天水巷,11
滨江区彩虹豪庭,62
余杭区余之城,60
余杭区东晖龙悦湾,121
上城区长明寺巷小区,34
余杭区耀达仁和印象,105
余杭区瑞城温莎郡,93
余杭区莱茵知己,90
滨江区湘云雅苑,48
余杭区菜市路,93
西湖区华星路88号,35
拱墅区定海西园,48
萧山区万和国际,54
余杭区理想银泰城,62
西湖区马塍路11号,29
拱墅区上尚庭,48
江干区万科紫台,49
西湖区文二路162号,34
拱墅区明园路,48
西湖区益乐路20号,47
下城区镜瑞弄,20
拱墅区景瑞申花壹号院,55
江干区圣奥领寓,41
余杭区大华西溪风情新天地,47
江干区金沙湖1号,51
西湖区转塘直街小区,58
上城区直大方伯,39
萧山区顺发康庄,71
余杭区湖山帝景湾,89
滨江区钱塘春晓,30
余杭区运河玲珑香榭,92
余杭区金帝海珀一期,92
西湖区金穗公寓,58
上城区定安路132号,14
西湖区文二路66号,29
滨江区东方商务会馆,39
西湖区弥陀寺路,24
西湖区山水人家白沙岛,36
余杭区东城丽景,58
西湖区秀里华庭,47
江干区世茂江滨花园峻景湾,79
滨江区大同公寓,64
西湖区庆丰新村,29
拱墅区首开望宸,43
余杭区大华西溪风情澄品,52
西湖区黄龙雅苑,21
余杭区朝阳西路70号,103
拱墅区德信银树湾,46
萧山区绿都四季华庭,91
西湖区新安嘉苑,42
西湖区曙光路121号,31
萧山区金马同盛,77
萧山区太古广场,71
滨江区碧水豪园,70
江干区三里新城桂苑,33
西湖区保m路165号,26
下城区三塘樱园,43
西湖区窑背巷6号,27
萧山区新惠名苑,85
下城区横广福路,19
拱墅区大关东九苑,38
下城区水稻大厦,99999999999
西湖区影业路,34
富阳区明裕花苑,110
萧山区钱江新村一区,65
余杭区嘉和银领时代,84
下城区锦园小区,27
江干区中豪国际,42
滨江区新浦路,57
萧山区广元公寓,73
萧山区宁安大厦,50
滨江区冠山小区,83
西湖区湖畔花园秋月苑,41
萧山区新盈名苑,85
上城区望江公寓,39
拱墅区红杉雅园,50
上城区滨江家园,49
西湖区马也美上,99999999999
西湖区华元天鹅堡,42
江干区中企艮山府,43
上城区长生路31号,25
江干区机场路24-4号,44
西湖区武林门新村,27
滨江区迎春小区,37
江干区华景北苑,28
西湖区星洲花园单身公寓,34
江干区龙湖滟澜山澜轩,51
江干区杭州来福士中心,46
余杭区肖家弄,82
西湖区润达花园,45
江干区广宇上东名筑,58
拱墅区浪琴翠园,44
上城区佑圣观路5号,33
江干区五福苑二苑,46
西湖区马塍路17号,24
拱墅区保利香槟国际,56
余杭区精工新村,88
萧山区山北新苑,71
江干区盛泰名都公寓,62
江干区杭州东部国际商务中心,52
西湖区黄姑山庄,33
余杭区亲亲家园四期,58
拱墅区美都广场,34
江干区金隅空港公馆,75
西湖区瑞祺大厦,26
上城区八卦新村西区,47
西湖区西溪路536号,35
上城区义井巷,26
西湖区西溪九号,66
西湖区朗郡庭园,67
余杭区玖玖国际财富中心,89
江干区水湘人家东苑,43
江干区锦润公寓,41
萧山区众安国泰花园,68
江干区长睦家苑,63
江干区紫玉福邸,35
上城区十三湾巷,24
西湖区梦湖山庄,68
余杭区春色满园,119
西湖区文三路232号,24
下城区桃花河新村,15
拱墅区塘河南村,44
西湖区钱江之江新天地,87
上城区延庆里6号,99999999999
萧山区竹林寺,68
下城区元都新景公寓,62
江干区采荷小区金谷,39
江干区采荷新村,37
下城区昌化路,14
